Country,Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Score,Health (Life Expectancy),Overall Rank,Trust (Government Corruption),Year
Norway,1.61646318435669,1.53352355957031,0.635422587394714,0.36201223731041,7.53700017929077,0.796666502952576,1,0.315963834524155,2017
Denmark,1.48238301277161,1.55112159252167,0.626006722450256,0.355280488729477,7.52199983596802,0.792565524578094,2,0.40077006816864,2017
Iceland,1.480633020401,1.6105740070343,0.627162635326385,0.475540220737457,7.50400018692017,0.833552122116089,3,0.153526559472084,2017
Switzerland,1.56497955322266,1.51691174507141,0.620070576667786,0.290549278259277,7.49399995803833,0.858131289482117,4,0.367007285356522,2017
Finland,1.44357192516327,1.5402467250824,0.617950856685638,0.24548277258873,7.4689998626709,0.80915766954422,5,0.38261154294014,2017
Netherlands,1.50394463539124,1.42893922328949,0.585384488105774,0.470489829778671,7.3769998550415,0.810696125030518,6,0.282661825418472,2017
Canada,1.47920441627502,1.48134899139404,0.611100912094116,0.435539722442627,7.31599998474121,0.83455765247345,7,0.287371516227722,2017
New Zealand,1.40570604801178,1.54819512367249,0.614062130451202,0.500005125999451,7.31400012969971,0.816759705543518,8,0.382816702127457,2017
Sweden,1.49438726902008,1.47816216945648,0.612924098968506,0.385399252176285,7.28399991989136,0.830875158309937,9,0.384398728609085,2017
Australia,1.484414935112,1.51004195213318,0.601607382297516,0.477699249982834,7.28399991989136,0.84388679265976,10,0.301183730363846,2017
Israel,1.37538242340088,1.37628996372223,0.405988603830338,0.330082654953003,7.21299982070923,0.83840399980545,11,0.0852421000599861,2017
Costa Rica,1.10970628261566,1.41640365123749,0.580131649971008,0.214613229036331,7.0789999961853,0.759509265422821,12,0.100106589496136,2017
Austria,1.48709726333618,1.4599449634552,0.567766189575195,0.316472321748734,7.00600004196167,0.815328419208527,13,0.221060365438461,2017
United States,1.54625928401947,1.41992056369781,0.505740523338318,0.392578780651093,6.99300003051758,0.77428662776947,14,0.135638788342476,2017
Ireland,1.53570663928986,1.55823111534119,0.573110342025757,0.42785832285881,6.97700023651123,0.80978262424469,15,0.29838815331459,2017
Germany,1.48792338371277,1.47252035140991,0.562511384487152,0.336269170045853,6.95100021362305,0.798950731754303,16,0.276731938123703,2017
Belgium,1.46378076076508,1.46231269836426,0.539770722389221,0.231503337621689,6.89099979400635,0.818091869354248,17,0.251343131065369,2017
Luxembourg,1.74194359779358,1.45758366584778,0.59662789106369,0.283180981874466,6.86299991607666,0.845089495182037,18,0.31883442401886,2017
United Kingdom,1.44163393974304,1.49646008014679,0.508190035820007,0.492774158716202,6.71400022506714,0.805335938930511,19,0.265428066253662,2017
Chile,1.25278460979462,1.28402495384216,0.376895278692245,0.326662421226501,6.65199995040894,0.819479703903198,20,0.0822879821062088,2017
United Arab Emirates,1.62634336948395,1.26641023159027,0.60834527015686,0.3609419465065,6.64799976348877,0.726798236370087,21,0.324489563703537,2017
Brazil,1.10735321044922,1.43130600452423,0.437453746795654,0.16234989464283,6.63500022888184,0.616552352905273,22,0.111092761158943,2017
Czech Republic,1.35268235206604,1.43388521671295,0.490946173667908,0.0881067588925362,6.60900020599365,0.754444003105164,23,0.0368729270994663,2017
Argentina,1.18529546260834,1.44045114517212,0.494519203901291,0.109457060694695,6.59899997711182,0.695137083530426,24,0.059739887714386,2017
Mexico,1.15318381786346,1.210862159729,0.412730008363724,0.120990432798862,6.57800006866455,0.709978997707367,25,0.132774114608765,2017
Singapore,1.69227766990662,1.35381436347961,0.549840569496155,0.345965981483459,6.57200002670288,0.949492394924164,26,0.46430778503418,2017
Malta,1.34327983856201,1.48841166496277,0.588767051696777,0.574730575084686,6.52699995040894,0.821944236755371,27,0.153066068887711,2017
Uruguay,1.21755969524384,1.41222786903381,0.57939225435257,0.175096929073334,6.4539999961853,0.719216823577881,28,0.178061872720718,2017
Guatemala,0.872001945972443,1.25558519363403,0.531310617923737,0.283488392829895,6.4539999961853,0.540239989757538,29,0.0772232785820961,2017
Panama,1.23374843597412,1.37319254875183,0.550026834011078,0.21055693924427,6.4520001411438,0.706156134605408,30,0.070983923971653,2017
France,1.43092346191406,1.38777685165405,0.470222115516663,0.129762306809425,6.44199991226196,0.844465851783752,31,0.172502428293228,2017
Thailand,1.12786877155304,1.42579245567322,0.580200731754303,0.572123110294342,6.42399978637695,0.647239029407501,32,0.0316127352416515,2017
Taiwan Province of China,1.43362653255463,1.38456535339355,0.361466586589813,0.258360475301743,6.42199993133545,0.793984234333038,33,0.0638292357325554,2017
Spain,1.38439786434174,1.53209090232849,0.408781230449677,0.190133571624756,6.40299987792969,0.888960599899292,34,0.0709140971302986,2017
Qatar,1.87076568603516,1.27429687976837,0.604130983352661,0.330473870038986,6.375,0.710098087787628,35,0.439299255609512,2017
Colombia,1.07062232494354,1.4021829366684,0.477487415075302,0.149014472961426,6.35699987411499,0.595027923583984,36,0.0466687418520451,2017
Saudi Arabia,1.53062355518341,1.28667759895325,0.449750572443008,0.147616013884544,6.3439998626709,0.590148329734802,37,0.27343225479126,2017
Trinidad and Tobago,1.36135590076447,1.3802285194397,0.518630743026733,0.325296461582184,6.16800022125244,0.519983291625977,38,0.0089648161083459,2017
Kuwait,1.63295245170593,1.25969874858856,0.496337592601776,0.228289797902107,6.10500001907349,0.632105708122253,39,0.215159550309181,2017
Slovakia,1.32539355754852,1.50505924224854,0.295817464590073,0.136544480919838,6.09800004959106,0.712732911109924,40,0.0242108516395092,2017
Bahrain,1.48841226100922,1.32311046123505,0.536746919155121,0.172668486833572,6.08699989318848,0.653133034706116,41,0.257042169570923,2017
Malaysia,1.29121541976929,1.28464603424072,0.402264982461929,0.416608929634094,6.08400011062622,0.618784427642822,42,0.0656007081270218,2017
Nicaragua,0.737299203872681,1.28721570968628,0.447551846504211,0.301674216985703,6.07100009918213,0.653095960617065,43,0.130687981843948,2017
Ecuador,1.00082039833069,1.28616881370544,0.4551981985569,0.150112465023994,6.00799989700317,0.685636222362518,44,0.140134647488594,2017
El Salvador,0.909784495830536,1.18212509155273,0.432452529668808,0.0782579854130745,6.00299978256226,0.596018552780151,45,0.0899809598922729,2017
Poland,1.29178786277771,1.44571197032928,0.520342111587524,0.158465966582298,5.97300004959106,0.699475347995758,46,0.0593078061938286,2017
Uzbekistan,0.786441087722778,1.54896914958954,0.658248662948608,0.415983647108078,5.97100019454956,0.498272627592087,47,0.246528223156929,2017
Italy,1.39506661891937,1.44492328166962,0.256450712680817,0.17278964817524,5.96400022506714,0.853144347667694,48,0.0280280914157629,2017
Russia,1.28177809715271,1.46928238868713,0.373783111572266,0.0522638224065304,5.96299982070923,0.547349333763123,49,0.0329628810286522,2017
Belize,0.907975316047668,1.08141779899597,0.547509372234344,0.240015640854836,5.95599985122681,0.450191766023636,50,0.0965810716152191,2017
Japan,1.41691517829895,1.43633782863617,0.505625545978546,0.12057276815176,5.92000007629395,0.913475871086121,51,0.163760736584663,2017
Lithuania,1.31458234786987,1.47351610660553,0.234231784939766,0.010164656676352,5.90199995040894,0.62894994020462,52,0.0118656428530812,2017
Algeria,1.09186446666718,1.1462174654007,0.233335807919502,0.0694366469979286,5.87200021743774,0.617584645748138,53,0.146096110343933,2017
Latvia,1.26074862480164,1.40471494197845,0.325707912445068,0.153074786067009,5.84999990463257,0.638566970825195,54,0.0738427266478539,2017
South Korea,1.40167844295502,1.12827444076538,0.257921665906906,0.206674367189407,5.83799982070923,0.900214076042175,55,0.0632826685905457,2017
Moldova,0.728870630264282,1.25182557106018,0.240729048848152,0.208779126405716,5.83799982070923,0.589465200901031,56,0.0100912861526012,2017
Romania,1.21768391132355,1.15009129047394,0.457003742456436,0.133519917726517,5.82499980926514,0.685158312320709,57,0.00438790069893,2017
Bolivia,0.833756566047668,1.22761905193329,0.558732926845551,0.22556072473526,5.82299995422363,0.473630249500275,58,0.0604777261614799,2017
Turkmenistan,1.13077676296234,1.49314916133881,0.41827192902565,0.24992498755455,5.82200002670288,0.437726080417633,59,0.259270340204239,2017
Kazakhstan,1.28455626964569,1.38436901569366,0.437454283237457,0.201964423060417,5.81899976730347,0.606041550636292,60,0.119282886385918,2017
North Cyprus,1.3469113111496,1.18630337715149,0.471203625202179,0.266845703125,5.80999994277954,0.834647238254547,61,0.155353352427483,2017
Slovenia,1.3412059545517,1.45251882076263,0.572575807571411,0.242649093270302,5.75799989700317,0.790828227996826,62,0.0451289787888527,2017
Peru,1.03522527217865,1.21877038478851,0.450002878904343,0.126819714903831,5.71500015258789,0.630166113376617,63,0.0470490865409374,2017
Mauritius,1.18939554691315,1.20956099033356,0.491247326135635,0.360933750867844,5.62900018692017,0.638007462024689,64,0.0421815551817417,2017
Cyprus,1.35593807697296,1.13136327266693,0.355111539363861,0.271254301071167,5.62099981307983,0.84471470117569,65,0.0412379764020443,2017
Estonia,1.32087934017181,1.47667109966278,0.479131430387497,0.0988908112049103,5.61100006103516,0.695168316364288,66,0.183248922228813,2017
Belarus,1.15655755996704,1.44494521617889,0.295400261878967,0.15513750910759,5.56899976730347,0.637714266777039,67,0.156313821673393,2017
Libya,1.10180306434631,1.35756433010101,0.465733230113983,0.152073666453362,5.52500009536743,0.520169019699097,68,0.0926102101802826,2017
Turkey,1.19827437400818,1.33775317668915,0.300740599632263,0.0466930419206619,5.5,0.637605607509613,69,0.0996715798974037,2017
Paraguay,0.932537317276001,1.50728487968445,0.473507791757584,0.224150657653809,5.49300003051758,0.579250693321228,70,0.091065913438797,2017
"Hong Kong S.A.R., China",1.55167484283447,1.26279091835022,0.490968644618988,0.374465793371201,5.47200012207031,0.943062424659729,71,0.293933749198914,2017
Philippines,0.85769921541214,1.25391757488251,0.585214674472809,0.193513423204422,5.42999982833862,0.468009054660797,72,0.0993318930268288,2017
Serbia,1.06931757926941,1.25818979740143,0.208715528249741,0.220125883817673,5.39499998092651,0.65078467130661,73,0.0409037806093693,2017
