Country,Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Score,Health (Life Expectancy),Overall Rank,Trust (Government Corruption),Year
Finland,1.34,1.587,0.596,0.153,7.769,0.986,1,0.393,2019
Denmark,1.383,1.573,0.592,0.252,7.6,0.996,2,0.41,2019
Norway,1.488,1.582,0.603,0.271,7.554,1.028,3,0.341,2019
Iceland,1.38,1.624,0.591,0.354,7.494,1.026,4,0.118,2019
Netherlands,1.396,1.522,0.557,0.322,7.488,0.999,5,0.298,2019
Switzerland,1.452,1.526,0.572,0.263,7.48,1.052,6,0.343,2019
Sweden,1.387,1.487,0.574,0.267,7.343,1.009,7,0.373,2019
New Zealand,1.303,1.557,0.585,0.33,7.307,1.026,8,0.38,2019
Canada,1.365,1.505,0.584,0.285,7.278,1.039,9,0.308,2019
Austria,1.376,1.475,0.532,0.244,7.246,1.016,10,0.226,2019
Australia,1.372,1.548,0.557,0.332,7.228,1.036,11,0.29,2019
Costa Rica,1.034,1.441,0.558,0.144,7.167,0.963,12,0.093,2019
Israel,1.276,1.455,0.371,0.261,7.139,1.029,13,0.082,2019
Luxembourg,1.609,1.479,0.526,0.194,7.09,1.012,14,0.316,2019
United Kingdom,1.333,1.538,0.45,0.348,7.054,0.996,15,0.278,2019
Ireland,1.499,1.553,0.516,0.298,7.021,0.999,16,0.31,2019
Germany,1.373,1.454,0.495,0.261,6.985,0.987,17,0.265,2019
Belgium,1.356,1.504,0.473,0.16,6.923,0.986,18,0.21,2019
United States,1.433,1.457,0.454,0.28,6.892,0.874,19,0.128,2019
Czech Republic,1.269,1.487,0.457,0.046,6.852,0.92,20,0.036,2019
United Arab Emirates,1.503,1.31,0.598,0.262,6.825,0.825,21,0.182,2019
Malta,1.3,1.52,0.564,0.375,6.726,0.999,22,0.151,2019
Mexico,1.07,1.323,0.433,0.074,6.595,0.861,23,0.073,2019
France,1.324,1.472,0.436,0.111,6.592,1.045,24,0.183,2019
Taiwan,1.368,1.43,0.351,0.242,6.446,0.914,25,0.097,2019
Chile,1.159,1.369,0.357,0.187,6.444,0.92,26,0.056,2019
Guatemala,0.8,1.269,0.535,0.175,6.436,0.746,27,0.078,2019
Saudi Arabia,1.403,1.357,0.439,0.08,6.375,0.795,28,0.132,2019
Qatar,1.684,1.313,0.555,0.22,6.374,0.871,29,0.167,2019
Spain,1.286,1.484,0.362,0.153,6.354,1.062,30,0.079,2019
Panama,1.149,1.442,0.516,0.109,6.321,0.91,31,0.054,2019
Brazil,1.004,1.439,0.39,0.099,6.3,0.802,32,0.086,2019
Uruguay,1.124,1.465,0.523,0.127,6.293,0.891,33,0.15,2019
Singapore,1.572,1.463,0.556,0.271,6.262,1.141,34,0.453,2019
El Salvador,0.794,1.242,0.43,0.093,6.253,0.789,35,0.074,2019
Italy,1.294,1.488,0.231,0.158,6.223,1.039,36,0.03,2019
Bahrain,1.362,1.368,0.536,0.255,6.199,0.871,37,0.11,2019
Slovakia,1.246,1.504,0.334,0.121,6.198,0.881,38,0.014,2019
Trinidad & Tobago,1.231,1.477,0.489,0.185,6.192,0.713,39,0.016,2019
Poland,1.206,1.438,0.483,0.117,6.182,0.884,40,0.05,2019
Uzbekistan,0.745,1.529,0.631,0.322,6.174,0.756,41,0.24,2019
Lithuania,1.238,1.515,0.291,0.043,6.149,0.818,42,0.042,2019
Colombia,0.985,1.41,0.47,0.099,6.125,0.841,43,0.034,2019
Slovenia,1.258,1.523,0.564,0.144,6.118,0.953,44,0.057,2019
Nicaragua,0.694,1.325,0.435,0.2,6.105,0.835,45,0.127,2019
Kosovo,0.882,1.232,0.489,0.262,6.1,0.758,46,0.006,2019
Argentina,1.092,1.432,0.471,0.066,6.086,0.881,47,0.05,2019
Romania,1.162,1.232,0.462,0.083,6.07,0.825,48,0.005,2019
Cyprus,1.263,1.223,0.406,0.19,6.046,1.042,49,0.041,2019
Ecuador,0.912,1.312,0.498,0.126,6.028,0.868,50,0.087,2019
Kuwait,1.5,1.319,0.493,0.142,6.021,0.808,51,0.097,2019
Thailand,1.05,1.409,0.557,0.359,6.008,0.828,52,0.028,2019
Latvia,1.187,1.465,0.264,0.075,5.94,0.812,53,0.064,2019
South Korea,1.301,1.219,0.159,0.175,5.895,1.036,54,0.056,2019
Estonia,1.237,1.528,0.495,0.103,5.893,0.874,55,0.161,2019
Jamaica,0.831,1.478,0.49,0.107,5.89,0.831,56,0.028,2019
Mauritius,1.12,1.402,0.498,0.215,5.888,0.798,57,0.06,2019
Japan,1.327,1.419,0.445,0.069,5.886,1.088,58,0.14,2019
Honduras,0.642,1.236,0.507,0.246,5.86,0.828,59,0.078,2019
